Species,Sambaquis,Colonial,Present,All_periods,Type,Max_size_cm,Trophic_category,Vertical_position,Habitat_zone,Habitat_use,Habitat_use,Mobility,Group_size,Max_size_class,Threatened_MMA,MMA_Red_List,Threatened_IUCN,Red_list_IUCN,Population_trend
Fistularia_petimba,0,0,1,0,Osteichthyes,200,MCAR,2,SH,4,2,3,2,LARGE,0,LC,0,LC,Unknown
Fistularia_tabacaria,0,1,1,0,Osteichthyes,200,MCAR,2,SH,4,2,2,1,LARGE,0,LC,0,LC,Unknown
Galeocerdo_cuvier,1,1,1,1,Chondrichthyes,750,MCAR,2,SH-OFF,7,4,3,1,LARGE,0,NT,0,NT,Deacreasing
Galeorhinus_galeus,0,0,1,0,Chondrichthyes,193,MCAR,2,SH-OFF,4,2,3,3,LARGE,1,CR,1,CR,Deacreasing
Gasterochisma_melampus,0,0,1,0,Osteichthyes,164,PISC,3,OFF,1,1,3,3,LARGE,0,LC,0,LC,Unknown
Gempylus_serpens,0,0,1,0,Osteichthyes,100,MCAR,3,SH-OFF,1,1,3,1,LARGE,0,LC,0,LC,Stable
Genidens_barbus,1,1,1,1,Osteichthyes,120,INV,1,SH,2,1,3,3,LARGE,1,EN,0,NE,NA
Genidens_genidens,1,1,1,1,Osteichthyes,42.5,INV,1,SH,3,2,2,3,MEDIUM,0,LC,0,LC,Unknown
Genidens_machadoi,1,0,0,0,Osteichthyes,80,INV,2,SH,2,1,2,3,LARGE,0,LC,0,NE,NA
Genidens_planifrons,0,0,1,0,Osteichthyes,57,INV,1,SH,2,1,2,3,LARGE,1,CR,0,NE,NA
Genidens_sp.,1,1,1,1,Osteichthyes,120,INV,1,SH,3,2,2,3,LARGE,0,NA,0,NA,NA
Genyatremus_luteus,0,0,1,0,Osteichthyes,37,INV,1,SH,3,2,2,NA,MEDIUM,0,LC,0,DD,Unknown
Genypterus_blacodes,0,0,1,0,Osteichthyes,200,MCAR,1,SH-SL,4,2,2,NA,LARGE,0,NA,0,NE,NA
Genypterus_brasiliensis,0,0,1,0,Osteichthyes,68.8,PISC,1,SH-SL,3,2,2,NA,LARGE,0,NT,0,NE,NA
Genypterus_sp.,0,0,1,0,Osteichthyes,200,PISC,1,SH-SL,3,2,2,NA,LARGE,0,NA,0,NE,NA
Gerres_cinereus,1,0,0,0,Osteichthyes,41,INV,1,SH,5,3,2,3,MEDIUM,0,LC,0,LC,Unknown
Gerres_sp.,0,0,1,0,Osteichthyes,41,INV,1,SH,5,3,2,3,MEDIUM,0,LC,0,LC,Unknown
Ginglymostoma_cirratum,1,1,0,0,Chondrichthyes,430,MCAR,1,SH,5,3,2,2,LARGE,1,VU,1,VU,Deacreasing
Gobioides_broussonnetii,0,1,0,0,Osteichthyes,55.3,OMNI,1,SH,2,1,1,1,LARGE,0,LC,0,LC,Unknown
Gymnothorax_moringa,0,1,1,0,Osteichthyes,200,MCAR,1,SH,5,3,1,1,LARGE,0,DD,0,LC,Unknown
Gymnothorax_sp.,0,1,1,0,Osteichthyes,250,MCAR,1,SH,7,4,1,1,LARGE,0,DD,0,NA,NA
Gymnura_altavela,1,0,1,0,Chondrichthyes,400,MCAR,1,SH,2,1,2,1,LARGE,1,CR,1,EN,Deacreasing
